psraid,sample,int_date,version,cregion,usr,q6a,q6b,q7,pay1a,pay1b,pay1c,pay1d,pay1e,pay1f,pay1g,pay1h,pay1i,pay1j,pay1k,pay1l,pay1m,pay1n,pay1o,pay1p,pay2a,pay2b,pay2c,pay3,pay4,ql1,ql1a,qc1,hh1,emp,par,sex,age,educ,hisp,race,inc,activ75,activ87,activ112,income,iphoneuse,hphoneuse,recage,receduc,racethn,weight,standwt
100001,1,100710,1,2,S,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2, ,5,1, , ,3,1,2,2,19,5,1,6,7,1,1,1,4,2,2,1,3,3,2.23529411764706,.710155559212637
100015,1,100710,1,4,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,2,3,2,2,69,5,2,1,6,3,3,3,3,2,2,6,3,1,3,.953103513680118
100019,1,100710,1,4,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,2,80,6,2,1,99, , , ,9,2,2,6,4,1,1.41176470588235,.44851930055535
100021,1,100710,1,4,S,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2, ,0,1, , ,2,1,2,1,26,3,1,1,4,3,2,3,2,2,2,2,2,3,8.17647058823529,2.59767428238307
100025,1,100710,1,3,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,5,2,1,72,1,2,1,1, , , ,1,1,1,6,1,1,2.70588235294118,.859661992731086
100035,1,100710,1,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,2,2,72,6,2,1,99, , , ,9,2,2,6,4,1,1,.317701171226706
100051,1,100710,1,2,S,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,500,3,1, , ,2,1,2,1,60,7,2,1,9,2,1,3,4,2,2,5,4,1,1.70588235294118,.541960821504381
100113,1,100710,1,4,S,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2, ,1500,1, , ,2,4,1,2,23,3,1,2,3,1,3,3,1,2,2,1,2,3,4.29411764705882,1.36424620585585
100124,1,100910,2,2,S,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2, ,10,1, , ,4,1,1,2,28,4,1,1,2,1,1,3,1,2,2,2,2,3,4.23529411764706,1.34555790166605
100152,1,100710,1,2,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,1, ,2,5,2,1,70,3,2,9,99, , , ,1,1,2,6,2,9,4.35294117647059,1.38293451004566
100168,1,100710,1,1,S,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2, ,5,1, , ,4,1,2,2,58,6,2,1,6,2,3,3,3,2,2,5,4,1,1.82352941176471,.579337429883993
100171,1,100710,1,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,1,83,3,2,2,2, , , ,1,2,2,6,2,2,1.76470588235294,.560649125694187
100174,1,100810,2,1,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,2,2,84,3,2,1,2, , , ,1,2,2,6,2,1,1,.317701171226706
100182,1,101010,2,3,R,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2, ,1,3,2,1,68,3,2,1,2,3,3,3,1,1,1,6,2,1,2.05882352941176,.654090646643218
100184,1,100710,1,3,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,4,2,2,1,20,3,2,1,3,3,1,1,1,2,2,1,2,1,4.05882352941176,1.28949298909663
100188,1,100710,1,3,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,2,2,2,2,27,5,2,1,2,3,1,2,1,2,2,2,3,1,2.82352941176471,.897038601110699
100189,1,100710,1,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,3,2,2,1,53,3,2,2,3, , , ,1,2,2,4,2,2,2.64705882352941,.84097368854128
100195,1,100710,1,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,4,2,2,85,2,2,1,1, , , ,1,1,1,6,1,1,3.76470588235294,1.1960514681476
100208,1,100910,2,3,S,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,120,0,1, , ,1,1,2,1,44,3,2,1,5,2,3,3,2,2,2,3,2,1,3.47058823529412,1.10260994719857
100210,1,100810,2,1,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,1, , ,2,1,2,2,53,2,2,2,2,1,3,3,1,2,2,4,1,2,7.47058823529412,2.37341463210539
100228,1,100710,1,2,S,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,1, , ,3,3,2,2,77,5,1,4,5,2,3,3,2,2,2,6,3,3,2.82352941176471,.897038601110699
100242,1,100710,1,1,U,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2, ,0,1, , ,2,1,1,2,36,6,2,2,8,2,1,1,4,2,2,3,4,2,4.11764705882353,1.30818129328644
