Unique ID,Sample type,Interview date,Q.Revised  REVISIONS TO QUESTIONNAIRE.,Census Region - from zip merge,Community type from zip merge - alpha,"Q6a Do you use the internet, at least occasionally?","Q6b Do you send or receive email, at least occasionally?",Do you use Internet,Q7 Did you happen to use the internet YESTERDAY?,PAY1a .Music,PAY1b .OnlineStreaming,PAY1c .Photos,PAY1d .Reading Articles,PAY1e .e-Book,PAY1f .Games,PAY1g .OnlineGameItems,PAY1h .OnlineGamesCheats,PAY1i .Podcasts,PAY1j .Ringtones,PAY1k .Software,PAY1l .MobileApps,PAY1m .ExclusiceWebsites,PAY1n .PremiumContent,PAY1o .Adult content,PAY1p .Others,PAY2a ForDownload,PAY2b ForStreaming,PAY2c ForSubscription,Payflag,PAY3 PastYearlyPayment,PAY4 AvgMonthlyPayment,L1  working cellphone,L1a HouseHold working cellphone,C1 AnyLandline,HH1 How many adults,EMP  Status,PAR Are you the parent or guardian of any children under 18 years of age?,Sex,Age,Education,Hispanic,Race/Ethnicity,Income,ACTIV75. Do you ever use the internet to -- PAY to access or download digital content ,ACTIV87. Do you ever use the internet to -- Use a social networking ,ACTIV112. Do you ever use the internet to -- Use Twitter or another service to share updates ,Income Summary,Individual telephone use,Household telephone use,Recoded age,Recoded education,Race/Ethnicity,Final weight,Standardized Weight
100001,Landline,100710,Initial Version,Midwest,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,1,,5,"Yes, have cell phone",,,3,Employed full-time,No,Female,19,"Some college or university work, but no four-year degree",Yes,Other (SPECIFY),"$75,000 to under $100,000",Yes/yesterday,Yes/yesterday,Yes/yesterday,$75K+,Dual,Dual HH,18-24,Some coll,Hispanic,2.235294118,0.710155559
100021,Landline,100710,Initial Version,West,Suburban,Yes,Yes,1,"No, did not use the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Employed full-time,No,Male,26,"High school graduate, Grade 12, or GED certificate",Yes,White,"$30,000 to under $40,000",No,Yes/not yesterday,No,$30K-LT $50k,Dual,Dual HH,25-34,HS grad,Hispanic,8.176470588,2.597674282
100051,Landline,100710,Initial Version,Midwest,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1,500,3,"Yes, have cell phone",,,2,Employed full-time,No,Male,60,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$150,000 or over",Yes/not yesterday,Yes/yesterday,No,$75K+,Dual,Dual HH,55-64,Coll+,White~Hisp,1.705882353,0.541960822
100113,Landline,100710,Initial Version,West,Suburban,Yes,No,1,"Yes, used the internet yesterday",Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,1,,1500,"Yes, have cell phone",,,2,Not employed,Yes,Female,23,"High school graduate, Grade 12, or GED certificate",Yes,Black or African-American,"$20,000 to under $30,000",Yes/yesterday,No,No,Under $30K,Dual,Dual HH,18-24,HS grad,Hispanic,4.294117647,1.364246206
100124,Landline,100910,10/08 - client changes,Midwest,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,1,,10,"Yes, have cell phone",,,4,Employed full-time,Yes,Female,28,"Technical, trade or vocational school AFTER high school",Yes,White,"$10,000 to under $20,000",Yes/yesterday,Yes/yesterday,No,Under $30K,Dual,Dual HH,25-34,HS grad,Hispanic,4.235294118,1.345557902
100168,Landline,100710,Initial Version,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,1,,5,"Yes, have cell phone",,,4,Employed full-time,No,Female,58,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$50,000 to under $75,000",Yes/not yesterday,No,No,$50K-LT $75K,Dual,Dual HH,55-64,Coll+,White~Hisp,1.823529412,0.57933743
100208,Landline,100910,10/08 - client changes,South,Suburban,Yes,No,1,"No, did not use the internet yesterday",Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,1,120,Nothing,"Yes, have cell phone",,,1,Employed full-time,No,Male,44,"High school graduate, Grade 12, or GED certificate",No,White,"$40,000 to under $50,000",Yes/not yesterday,No,No,$30K-LT $50k,Dual,Dual HH,35-44,HS grad,White~Hisp,3.470588235,1.102609947
100228,Landline,100710,Initial Version,Midwest,Suburban,Yes,Yes,1,"No, did not use the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,3,Retired,No,Female,77,"Some college or university work, but no four-year degree",Yes,Mixed race,"$40,000 to under $50,000",Yes/not yesterday,No,No,$30K-LT $50k,Dual,Dual HH,65+,Some coll,Hispanic,2.823529412,0.897038601
100242,Landline,100710,Initial Version,Northeast,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Employed full-time,Yes,Female,36,"College or university graduate (BA, BS or other four-year degree received)",No,Black or African-American,"$100,000 to under $150,000",Yes/not yesterday,Yes/yesterday,Yes/yesterday,$75K+,Dual,Dual HH,35-44,Coll+,AA~Hisp,4.117647059,1.308181293
100262,Landline,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,1,20,4,"Yes, have cell phone",,,2,Employed full-time,No,Male,55,"Some college or university work, but no four-year degree",No,Black or African-American,"$50,000 to under $75,000",Yes/not yesterday,Yes/not yesterday,No,$50K-LT $75K,Dual,Dual HH,55-64,Some coll,AA~Hisp,1.882352941,0.598025734
